fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend
P589Fg003_1_P597Fg060_0,P589Fg003_P597Fg060,1,1,0,0,0,"[[True, 4, 0]]"
P590Fg012_1_P597Fg026_0,P590Fg012_P597Fg026,1,1,0,0,0,"[[True, 7, 0]]"
P589Fg003_1_P590Fg006_0,P589Fg003_P590Fg006,1,1,0,0,0,"[[True, 4, 0]]"
P593Fg002_1_P597Fg060_0,P593Fg002_P597Fg060,1,1,1,0,0,"[[True, 1, 0]]"
P589Fg011_1_P590Fg006_0,P589Fg011_P590Fg006,1,1,0,0,0,"[[True, 2, 0]]"
P589Fg008_1_P596Fg016_0,P589Fg008_P596Fg016,1,1,1,0,0,"[[True, 1, 0]]"
P593Fg001_1_P597Fg060_0,P593Fg001_P597Fg060,1,1,0,0,0,"[[True, 10, 0]]"
P596Fg081_1_P597Fg046_1,P596Fg081_P597Fg046,2,2,2,0,0,"[[False, 0, 1], [False, 0, 1]]"
P596Fg054_1_P597Fg060_0,P596Fg054_P597Fg060,2,2,2,0,0,"[[True, 0, 0], [True, 0, 0]]"
P589Fg012_1_P597Fg060_0,P589Fg012_P597Fg060,1,1,1,0,0,"[[True, 1, 0]]"
P590Fg032_1_P597Fg060_0,P590Fg032_P597Fg060,4,4,3,3,0,"[[True, 2, 0], [True, 3, 0], [True, 4, 0], [True, 5, 0]]"
P590Fg026_1_P597Fg060_0,P590Fg026_P597Fg060,1,1,0,0,0,"[[True, 4, 0]]"
P590Fg035_1_P598Fg011_0,P590Fg035_P598Fg011,1,1,1,0,0,"[[True, 1, 0]]"
P589Fg008_1_P590Fg032_1,P589Fg008_P590Fg032,1,1,0,0,0,"[[False, 1, 5]]"
P596Fg055_1_P597Fg060_0,P596Fg055_P597Fg060,2,2,2,0,0,"[[True, 1, 0], [True, 1, 0]]"
P596Fg061_1_P597Fg051_0,P596Fg061_P597Fg051,2,2,2,0,0,"[[True, 0, 1], [True, 0, 1]]"
P590Fg031_1_P597Fg060_0,P590Fg031_P597Fg060,1,1,0,0,0,"[[True, 3, 0]]"
P596Fg001_1_P597Fg060_0,P596Fg001_P597Fg060,1,1,1,0,0,"[[True, 0, 0]]"
P589Fg008_1_P597Fg060_0,P589Fg008_P597Fg060,1,1,1,0,0,"[[True, 1, 0]]"
P590Fg029_1_P597Fg060_0,P590Fg029_P597Fg060,1,1,0,0,0,"[[True, 2, 0]]"
P596Fg067_1_P597Fg060_0,P596Fg067_P597Fg060,2,2,2,0,0,"[[True, 0, 0], [True, 0, 0]]"
P589Fg008_1_P590Fg035_1,P589Fg008_P590Fg035,1,1,0,0,0,"[[False, 1, 4]]"
P596Fg020_1_P597Fg060_0,P596Fg020_P597Fg060,1,1,1,0,0,"[[True, 1, 0]]"
P589Fg003_1_P597Fg051_0,P589Fg003_P597Fg051,1,1,0,0,0,"[[True, 4, 1]]"
P590Fg012_1_P590Fg035_0,P590Fg012_P590Fg035,1,1,0,0,0,"[[True, 7, 3]]"
P589Fg003_1_P597Fg046_1,P589Fg003_P597Fg046,1,1,0,0,0,"[[False, 4, 1]]"
P589Fg006_1_P597Fg051_0,P589Fg006_P597Fg051,1,1,0,0,0,"[[True, 5, 1]]"
P589Fg011_1_P590Fg004_0,P589Fg011_P590Fg004,1,1,0,0,0,"[[True, 2, 0]]"
P590Fg012_1_P597Fg046_1,P590Fg012_P597Fg046,1,1,0,0,0,"[[False, 7, 1]]"
P593Fg004_1_P597Fg060_0,P593Fg004_P597Fg060,1,1,0,0,0,"[[True, 2, 0]]"
P596Fg081_1_P597Fg051_0,P596Fg081_P597Fg051,2,2,2,0,0,"[[True, 0, 1], [True, 0, 1]]"
P590Fg012_1_P597Fg060_0,P590Fg012_P597Fg060,2,1,0,0,0,"[[True, 7, 0]]"
P589Fg008_1_P597Fg046_1,P589Fg008_P597Fg046,1,1,1,0,0,"[[False, 1, 1]]"
P590Fg001_1_P590Fg004_0,P590Fg001_P590Fg004,1,1,1,0,0,"[[True, 1, 0]]"
P589Fg011_1_P597Fg046_1,P589Fg011_P597Fg046,1,1,0,0,0,"[[False, 2, 1]]"
P589Fg008_1_P597Fg051_0,P589Fg008_P597Fg051,1,1,1,0,0,"[[True, 1, 1]]"
P593Fg016_1_P597Fg060_0,P593Fg016_P597Fg060,1,1,0,0,0,"[[True, 3, 0]]"
P596Fg067_1_P597Fg051_0,P596Fg067_P597Fg051,2,2,2,0,0,"[[True, 1, 1], [True, 1, 1]]"
P596Fg061_1_P597Fg046_1,P596Fg061_P597Fg046,2,2,2,0,0,"[[False, 0, 1], [False, 0, 1]]"
P589Fg008_1_P590Fg006_0,P589Fg008_P590Fg006,1,1,1,0,0,"[[True, 1, 0]]"
P590Fg012_1_P597Fg051_0,P590Fg012_P597Fg051,1,1,0,0,0,"[[True, 7, 1]]"
P596Fg043_1_P597Fg060_0,P596Fg043_P597Fg060,1,1,1,0,0,"[[True, 0, 0]]"
P596Fg069_1_P597Fg046_1,P596Fg069_P597Fg046,2,2,2,0,0,"[[False, 0, 1], [False, 0, 1]]"
P590Fg035_1_P597Fg051_0,P590Fg035_P597Fg051,1,1,1,0,0,"[[True, 1, 1]]"
P590Fg035_1_P597Fg060_0,P590Fg035_P597Fg060,1,1,1,0,0,"[[True, 1, 0]]"
P589Fg011_1_P597Fg060_0,P589Fg011_P597Fg060,1,1,0,0,0,"[[True, 2, 0]]"
P596Fg081_1_P597Fg060_0,P596Fg081_P597Fg060,2,2,2,0,0,"[[True, 0, 0], [True, 0, 0]]"
P589Fg008_1_P590Fg004_0,P589Fg008_P590Fg004,1,1,1,0,0,"[[True, 1, 0]]"
P596Fg073_1_P597Fg051_0,P596Fg073_P597Fg051,2,2,2,0,0,"[[True, 1, 1], [True, 1, 1]]"
P589Fg003_1_P590Fg004_0,P589Fg003_P590Fg004,1,1,0,0,0,"[[True, 4, 0]]"
P597Fg005_1_P597Fg051_0,P597Fg005_P597Fg051,2,2,2,0,0,"[[True, 0, 1], [True, 0, 1]]"
P596Fg067_1_P597Fg046_1,P596Fg067_P597Fg046,2,2,2,0,0,"[[False, 1, 1], [False, 1, 1]]"
P589Fg006_1_P590Fg004_0,P589Fg006_P590Fg004,3,3,0,0,0,"[[True, 2, 0], [True, 5, 0], [True, 7, 0]]"
P596Fg081_1_P598Fg005_0,P596Fg081_P598Fg005,2,2,2,0,0,"[[True, 0, 3], [True, 0, 3]]"
P589Fg006_1_P597Fg060_0,P589Fg006_P597Fg060,1,1,0,0,0,"[[True, 5, 0]]"
P590Fg012_1_P597Fg060_1,P590Fg012_P597Fg060,2,1,0,0,0,"[[False, 7, 0]]"
P590Fg032_1_P597Fg051_0,P590Fg032_P597Fg051,1,1,0,0,0,"[[True, 5, 1]]"
P589Fg008_1_P598Fg001_0,P589Fg008_P598Fg001,1,1,1,0,0,"[[True, 1, 1]]"
P596Fg042_1_P597Fg051_0,P596Fg042_P597Fg051,1,1,1,0,0,"[[True, 0, 1]]"
P596Fg042_1_P597Fg046_1,P596Fg042_P597Fg046,1,1,1,0,0,"[[False, 0, 1]]"
P590Fg032_1_P597Fg046_1,P590Fg032_P597Fg046,2,2,1,1,0,"[[False, 4, 1], [False, 5, 1]]"
